p_name,p_type,p_org,cf_id
Jennifer Tejada,Chairperson and CEO,"PagerDuty, Inc. ",4392935
,,,
Howard Wilson,CFO,"PagerDuty, Inc. ",4392935
,,,
Joel Fishbein,guest participant,Truist,4392935
,,,
Kingsley Crane,guest participant,Berenberg,4392935
,,,
Rhys McDonald,guest participant,Credit Suisse,4392935
,,,
Sterling Auty,guest participant,JPMorgan,4392935
,,,
Matt Stotler,guest participant,William Blair,4392935
,,,
Keith Weiss,guest participant,Morgan Stanley,4392935
,,,
Matthew Hedberg,guest participant,RBC Capital Markets,4392935
,,,
Hannah Rudoff,guest participant,D.A. Davidson,4392935
,,,
Peter Lowry,Vice President of Investor Relations,"Domo, Inc. ",4392932
,,,
Julie Kehoe,Chief Communications Officer,"Domo, Inc. ",4392932
,,,
Joshua James,"Founder, Chairman and Chief Executive Officer","Domo, Inc. ",4392932
,,,
Bruce Felt,Chief Financial Officer,"Domo, Inc. ",4392932
,,,
Ian Tickle,Chief Revenue Officer,"Domo, Inc. ",4392932
,,,
John Mellor,Chief Strategy Officer,"Domo, Inc. ",4392932
,,,
Sanjit Singh,guest participant,Morgan Stanley,4392932
,,,
Brad Zelnick,guest participant,Credit Suisse AG,4392932
,,,
James Wood,guest participant,"Cowen and Company, LLC",4392932
,,,
Jennifer Lowe,guest participant,UBS Investment Bank,4392932
,,,
Patrick Walravens,guest participant,"JMP Securities, LLC",4392932
,,,
Jack Andrews,guest participant,"Needham & Company, LLC",4392932
,,,
Bhavanmit Suri,guest participant,"William Blair & Company, LLC",4392932
,,,
Carolyn Bass,Investor Relations,"Zuora, Inc. ",4392927
,,,
Tien Tzuo,Chief Executive Officer,"Zuora, Inc. ",4392927
,,,
Todd McElhatton,Chief Finance Officer,"Zuora, Inc. ",4392927
